```csv
Time Period,Model S/X production,Model 3/Y production,Total production,Model S/X deliveries,Model 3/Y deliveries,Total deliveries,of which subject to operating lease accounting,Total end of year operating lease vehicle count,Global vehicle inventory (days of supply),Solar deployed (MW),Storage deployed (MWh),Store and service locations,Mobile service fleet^(2),Supercharger stations,Supercharger connectors
2018,,152977,254530,99451,146055,245506,11034,37134,22,326,1041,378,411,1421,12002
2019,101553,302301,365232,66771,300885,367656,25439,49901,13,173,1651,433,758,1821,16104
2020,62931,454932,509737,57085,442562,499647,34470,72089,15,205,3022,523,894,2564,23277
2021,24390,906032,930422,24980,911242,936222,60912,120342,6,345,3992,644,1281,3476,31498
2022,71177,1298434,1369611,66705,1247146,1313851,47582,140667,16,348,6541,764,1584,4678,42419
YoY,192%,43%,47%,167%,37%,40%,-22%,17%,167%,1%,64%,19%,24%,35%,35%
```
